order_id,customer_id,order_purchase_timestamp,order_approved_at,processing_time,actual_delivery_days,estimated_delivery_days,on_time_delivery,delivery_days,order_year,order_month
u6rPMRAYIGig,I74lXDOfoqsp,2017-11-18 12:29:57,2017-11-18 12:46:08,0.011238425925925926,,,,7.0,2017,11
ohY8f4FEbX19,47TuLHF2s7X5,2018-06-02 17:13:12,2018-06-02 20:12:23,0.12443287037037037,,,,7.0,2018,6
I28liQek73i2,dQ0dqI8Qwlj8,2018-01-08 11:01:30,2018-01-09 07:24:03,0.8489930555555556,,,,7.0,2018,1
bBG1T89mlY8W,iQCmWhNkIczb,2017-03-10 10:24:46,2017-03-10 10:24:46,0.0,,,,7.0,2017,3
CYxJJSQS8Lbo,Dp2g6JH8tO5Z,2017-12-02 10:04:07,2017-12-05 04:13:30,2.7565162037037036,,,,7.0,2017,12
kUkQCFPtDvrC,s18Fn5Tz7Jml,2018-07-26 21:40:10,2018-07-26 21:50:19,0.007048611111111111,,,,7.0,2018,7
eV98svHRmPNG,9rXAwNe0G0m5,2018-02-13 06:49:11,2018-02-14 06:46:53,0.9984027777777778,,,,7.0,2018,2
b2tsoISX5lnP,o3yCAPMIPtLj,2018-07-09 03:40:22,2018-07-09 03:50:07,0.0067708333333333336,,,,7.0,2018,7
O0D3th8M88nF,PHGrixjXAt4t,2018-05-28 23:23:31,2018-05-28 23:35:19,0.008194444444444445,,,,7.0,2018,5
yBTGlSf8GGMV,K6lNXbhXbvwg,2017-02-28 17:28:52,2017-02-28 19:20:26,0.07747685185185185,,,,7.0,2017,2
OoHJ0WBqlxln,WaitNYVtRT2x,2018-03-15 10:00:16,2018-03-15 10:15:35,0.010636574074074074,,,,7.0,2018,3
qvrK7ROfp1w6,WDjs7f3Yv8Va,2017-05-13 22:52:45,2017-05-13 23:08:52,0.01119212962962963,,,,7.0,2017,5
uNUwbkr3jhfD,ViMUFfeZLwv5,2018-04-04 12:42:36,2018-04-05 02:08:32,0.559675925925926,,,,7.0,2018,4
j4hiZpWSGa1T,ZdAOMosp5YDg,2018-03-01 14:58:33,2018-03-01 15:15:47,0.011967592592592592,,,,7.0,2018,3
6J3ZtW3UMsR9,jVsS0bHgLHcJ,2017-03-06 13:56:19,2017-03-07 04:03:33,0.5883564814814815,,,,7.0,2017,3
CKtqZeTFa6Ov,D1KiQOWblWjh,2018-08-12 12:16:53,2018-08-12 12:30:16,0.009293981481481481,,,,7.0,2018,8
e7xeH7PfGWFM,I1orDozbJsZY,2018-03-02 17:58:09,2018-03-02 19:42:23,0.07238425925925926,,,,7.0,2018,3
y7ICBanZzdHp,bincH34GAiat,2018-02-25 19:13:33,2018-02-25 19:27:55,0.009976851851851851,,,,7.0,2018,2
bZFqy2PEMhhc,J534NgM03SXi,2018-01-20 19:51:16,2018-01-20 20:20:13,0.020104166666666666,,,,7.0,2018,1
